isoform_id	normalized_count
uc002iqu.2	475.6770
uc010dbt.1	68.9906
uc010wml.1	26.6326
uc010wmm.1	0.0000
uc010wmn.1	0.0000
uc010wmo.1	29.6394
uc002fmp.2	14.4658
uc002fmq.1	7.5968
uc002fmr.1	0.0000
uc010cig.1	265.2828
uc010cih.1	3.1666
uc010cii.1	8.1525
uc003iws.1	321.1350
uc003iwt.1	0.0000
uc003iwu.1	504.4168
uc003iwv.1	0.0000
uc003iww.2	50.4745
uc010ise.1	0.0000
uc011ckm.1	0.0000
uc011ckn.1	0.0000
uc002vni.2	409.8211
uc002vnj.2	1952.7788
uc002vnk.2	466.1931
uc004eoi.2	12.4187
uc004eoj.2	293.9186
uc004eok.2	0.7317
uc010npp.1	0.0000
uc001kzs.2	0.0000
uc001kzt.2	0.0000
uc001kzu.2	158.2165
uc009xxz.2	0.0000
uc010qrj.1	36.1006
uc003kvv.1	1.5993
uc003kvw.1	0.0000
uc003kvx.1	0.0000
uc003kvy.1	0.0000
uc003kvz.1	0.0000
uc003kwa.1	0.0000
uc003kwb.2	0.0000
uc003kwc.1	0.0000
uc003kwd.1	0.0000
uc010jdn.1	0.0000
uc010jdo.1	0.0000
uc010jdp.1	0.0000
uc002dhm.1	62.7732
uc002dhn.1	0.0000
uc010bwg.1	0.0000
uc002dhf.3	0.0000
uc002dhg.3	0.0000
uc002dhh.3	0.0000
uc010bwd.1	0.0000
uc010bwe.2	0.0000
uc010vax.1	0.0000
uc010vay.1	0.0000
uc002dhj.3	0.0000
uc002dhk.3	0.0000
uc010bwf.1	0.0000
uc002dhq.2	4.6260
uc002dhr.2	11.0353
uc010vba.1	0.0000
uc001qsx.1	0.0000
uc002dhd.1	0.7677
uc002dhe.2	4.4301
uc002wua.2	2.0791
uc002wub.2	318.1563
uc002wuc.2	0.0000
uc002wud.1	440.2442
uc010gdc.2	0.0000
uc002xbc.2	40.3388
uc002xbd.2	396.9706
uc002xbe.2	122.8116
uc002xbf.2	11.2312
uc010gey.2	0.0000
uc010zum.1	0.0000
uc001szl.1	167.1487
uc001szm.1	0.0000
uc001szn.1	12.3747
uc001htm.2	46.7800
uc001kfp.2	6529.3182
uc001kfq.2	154.1502
uc010qmy.1	2.4510
uc010qmz.1	6.9051
uc003jrm.2	0.7997
uc003soq.3	0.0000
uc003sor.3	1731.9730
uc003sos.3	1993.6174
uc003sot.3	99877.7695
uc010ksy.2	19678.4399
uc011jwi.1	0.0000
uc001ziu.1	1.9991
uc002kag.2	7.8167
uc002kah.1	16574.8681
uc002kai.1	3285.0024
uc002kaj.1	238.1984
uc002kak.1	20729.3515
uc002kal.1	112990.0909
uc010wun.1	342.0940
uc002sjw.2	146.1536
uc010fex.1	0.0000
uc010fey.2	0.0000
uc010yrn.1	11.7790
uc003fjw.2	1867.2033
uc003fjx.2	0.0000
uc003fjy.2	0.0000
uc003uvx.1	0.0000
uc003uvy.2	0.0000
uc003uvz.2	0.0000
uc004bdj.1	0.0000
uc004bdi.2	0.3998
uc001bat.2	1.5993
uc002mkl.2	0.0000
uc001xkk.2	219.7902
uc001xkl.2	14140.4268
uc001xkm.2	19.7956
uc001xkn.2	0.0000
uc001xko.1	0.0000
uc010ttb.1	689.0140
uc010ttc.1	158.6523
uc010ttd.1	403.6558
uc001hyf.2	0.0000
uc001hyg.2	0.0000
uc001hyh.2	0.0000
uc009xgi.1	0.0000
uc010pxu.1	0.3998
uc001oio.1	0.0000
uc010rpi.1	1.1995
uc002oja.1	10248.5593
uc002ojb.1	2035.6315
uc010egc.1	4.9979
uc001xdf.2	911.5351
uc001xdg.2	0.0000
uc001xdh.2	632.0983
uc010apc.2	19.2798
uc010trp.1	10.0157
uc001kvv.2	3505.9001
uc010qqn.1	0.0000
uc010qqo.1	132.9473
uc002syb.2	1490.9639
uc002sdp.2	0.0000
uc002sdq.2	5068.2376
uc010yqf.1	0.0000
uc010yqg.1	0.0000
uc003wle.1	234.6159
uc003wlf.1	8.9202
uc003wlg.1	12.3547
uc011kvp.1	0.0000
uc003wgu.1	34.7852
uc002tkx.1	4376.9325
uc010yyc.1	0.0000
uc010yyd.1	0.0000
uc002xjd.2	362.6453
uc001thb.1	593.8706
uc001thc.1	33.4177
uc001thd.1	42.9217
uc001the.1	0.0000
uc001thf.1	0.0000
uc009ztu.1	0.0000
uc010svh.1	1.5034
uc003dhb.2	12.0229
uc003dhc.2	0.0000
uc003dhd.2	414.1953
uc004eum.2	0.0000
uc001ajz.2	0.0000
uc001rzl.2	1.3114
uc001rzm.2	1.4114
uc001rzn.2	1459.0015
uc010snn.1	17.2486
uc002tzk.3	0.0000
uc002tzl.3	0.0000
uc010foe.2	0.0000
uc010fof.2	3.5985
uc002tzm.3	32.9579
uc002tzn.3	0.0000
uc010fog.2	537.9985
uc002twg.2	0.0000
uc002twh.2	128.8410
uc010zbn.1	0.7037
uc003cif.2	393.0323
uc003cig.2	0.0000
uc001rzj.2	168.3202
uc001rzk.2	204.7446
uc010snm.1	21.5708
uc003dcp.2	588.1211
uc003dcq.2	0.0000
uc011bea.1	6.8771
uc011beb.1	17.6605
uc001omq.2	6.7971
uc001xrf.2	39.4552
uc001xrg.2	303.9983
uc002rxq.3	51.9778
uc003ieo.2	0.0000
uc003iep.2	0.0000
uc003ieq.2	0.0000
uc002fhq.2	0.0000
uc002fhr.2	1.1995
uc001zrh.2	53.8330
uc001zri.1	35.1810
uc010udo.1	107.7020
uc002afd.1	587.4054
uc002afe.1	0.0000
uc002aff.1	9.9717
uc002afg.2	1.4154
uc010bgc.1	0.0000
uc010ugz.1	244.4477
uc002ihh.2	0.0000
uc002ihi.2	9.1681
uc010wjd.1	4.8259
uc001ljj.1	591.5556
uc001ljk.2	472.2105
uc001ljl.3	8.5244
uc001ljm.2	0.0000
uc001ljn.2	0.0000
uc010qul.1	112.8039
uc001fgq.1	37.3041
