gene	raw_counts	median_length_normalized	RPKM
ABCC1|4363	9485	74.4341340869838	13.9298951067058
ABCC2|1244	10208	100.510789942586	18.903623227549
ABCC3|8714	24496	577.21388101983	108.18099645383
ABCC4|10257	23691	450.58599695586	84.3217850315936
ABCC5|10057	8394	122.936656891496	23.0248254069663
ABCC6P1|653190	110	1.97841726618705	0.370109002582911
ABCC6P2|730013	92	6.51416430594901	1.21889104430344
ABCC6|368	340	8.43253968253968	1.57750283748813
ABCC8|6833	150	2.08128704487722	0.396006091594371
ABCC9|10060	3058	35.7267414679757	6.68618610463248
ABCD1|215	3459	83.2608695652174	15.6301079096062
ABCD2|225	27	0.252574424265119	0.0472849512925284
ABCD3|5825	11607	161.257992771754	30.1829237407031
ABCD4|5826	1001	20.5034821794347	3.83573025290557
ABCE1|6059	12751	151.96518836433	28.4379037143505
ABCF1|23	8874	171.559938128384	32.0976076186448
ABCF2|10061	9473	162.585139318885	30.4806528957714
ABCF3|55324	6123	119.863351605325	22.4246217534924
ABCG1|9619	5280	88.334672021419	16.5285626856304
ABCG2|9429	263	5.79717813051146	1.08466208172387
ABCG4|64137	12	0.164383561643836	0.0307517716716461
ABCG5|64240	8	0.142298114549982	0.0266201746950097
ABCG8|64241	0	0	0
ABHD10|55347	2535	49.4383294301327	9.25508897133827
ABHD11|83451	6065	220.818645302258	41.3182603446315
ABHD12B|145447	19	0.621727748691099	0.116308647765525
ABHD12|26090	6641	180.076505697233	33.7046564568917
ABHD13|84945	1840	17.2569601203913	3.23753603189703
ABHD14A|25864	205	9.03100088573959	1.69840663960062
ABHD14B|84836	7458	181.372749391727	33.946289655882
ABHD15|116236	1801	32.5888122048674	6.11912410247356
ABHD1|84696	81	2.73079584775087	0.524323027377288
ABHD2|11057	21979	125.423353498459	23.4658347785123
ABHD3|171586	1014	28.9765580331618	5.42287888955258
ABHD4|63874	5076	147.670355270821	27.6524157672907
ABHD5|51099	2938	27.2659217877095	5.11751666473047
ABHD6|57406	223	4.62038955656859	0.864428945715443
ABHD8|79575	806	18.9602649006623	3.56625027912393
ABI1|10006	6982	99.8660944206009	18.6859173774853
ABI2|10152	3749	30.9254125412541	5.78661483483299
ABI3BP|25890	723	9.87165483342436	1.8467228257075
ABI3|51225	338	7.96650943396226	1.49129169462696
ABL1|25	11001	97.6182528409091	18.2705355791784
ABL2|27	3057	12.8932849670997	2.41219423753453
ABLIM1|3983	36333	826.219290263876	154.616319325622
ABLIM2|84448	134	1.96854791299236	0.368427677949298
ABLIM3|22885	7078	88.9019854234732	16.6386612131498
ABO|28	4	0.132100396301189	0.0247124541174611
ABP1|26	91	1.80241448692153	0.342528536577373
ABRA|137735	22	0.388555280819498	0.0726883099385725
ABR|29	4008	47.6100808368997	8.91333448523628
ABT1|29777	2144	47.2847006651885	8.8932396302156
ABTB1|80325	936	23.5253896430367	4.40172418045131
ABTB2|25841	1547	18.5818269462521	3.48761581771779
ACAA1|30	3068	90.470796460177	16.9304075483495
ACAA2|10449	2229	62.4332959641256	11.6868367691873
ACACA|31	7231	74.8336785418393	14.0091846605825
ACACB|32	814	7.51875115462775	1.40659198247472
ACAD10|80724	1561	33.4840928632846	6.27732988911417
ACAD11|84129	739	19.1786085150571	3.58897072163875
ACAD8|27034	1307	36.3860724233983	6.81071793631251
ACAD9|28976	3731	81.0551933941764	15.1666753364562
ACADL|33	27	0.738916256157635	0.138231485962449
ACADM|34	4116	91.3690053285968	17.0957728882404
ACADSB|36	2423	20.6905209222886	3.87086722282173
ACADS|35	209	7.13242320819113	1.33441348235013
ACADVL|37	11470	254.379325643301	47.5982807201753
ACAN|176	271	1.5722751568673	0.294543680271601
ACAP1|9744	84	1.64248910027745	0.311418060329195
ACAP2|23527	4321	47.7199822773593	8.95373984059072
ACAP3|116983	1654	23.5838562464347	4.41270965865409
ACAT1|38	2010	46.712889716147	8.74865723860059
ACAT2|39	1304	40.3347772277228	7.54775848021694
ACBD3|64746	7895	109.869310248534	20.6219425746744
ACBD4|79777	579	14.4904522613065	2.7214931600617
ACBD5|91452	4654	62.0875600640683	11.6209161008058
ACBD6|84320	2884	88.8806431663575	16.6827251947408
ACBD7|414149	283	6.40456621004566	1.20871546987165
ACCN1|40	23	0.37001287001287	0.0692195203730881
ACCN2|41	670	8.76373626373626	1.63970559966446
ACCN3|9311	42	1.03042198233562	0.1927644176179
ACCN4|55515	10	0.194779898714453	0.0364381140765837
ACCN5|51802	0	0	0
ACCSL|390110	0	0	0
ACCS|84680	379	9.216796875	1.73097588468309
ACD|65057	552	13.2023923444976	2.47044137017674
ACE2|59272	1207	17.2686353211009	3.23677531746991
ACER1|125981	20	0.919117647058823	0.171942350798879
ACER2|340485	117	2.05119214586255	0.383723237855788
ACER3|55331	3813	43.5584	8.15211894574384
ACE|1636	892	18.6697401508801	3.49684332944068
ACHE|43	0	0	0
ACIN1|22985	8514	133.857772183763	25.0588717129548
ACLY|47	16029	183.977726750861	34.4270673680746
ACMSD|130013	2	0.0773993808049536	0.0144793558567477
ACN9|57001	420	10.1044487427466	1.8996802858089
ACO1|48	1473	20.5027870680045	3.84000749730634
ACO2|50	15607	280.651438848921	52.5117382119227
ACOT11|26027	546	9.91494002181025	1.8564523738163
ACOT12|134526	0	0	0
ACOT13|55856	4325	50.6961520412952	9.49192780290012
ACOT1|641371	1425	44.3634663341646	8.30983231541716
ACOT2|10965	2796	83.4922248803828	15.6416532405212
ACOT4|122970	1179	34.4668232530828	6.47561345777933
ACOT6|641372	44	2.12151394422311	0.409921524773105
ACOT7|11332	5987	183.139534883721	34.2719618545099
ACOT8|10005	1132	27.9486166007905	5.23139699410851
ACOT9|23597	2088	62.8494882600843	11.758248156931
ACOX1|51	18353	122.103140803833	22.8463925010811
ACOX2|8309	8783	185.309422750424	34.8697919730139
ACOX3|8310	2900	50.7675070028011	9.49776794889048
ACOXL|55289	156	3.10906911705953	0.582969063451702
ACP1|52	8312	265.021683673469	49.583963137316
ACP2|53	4465	105.982431149098	19.8310110349689
ACP5|54	949	29.8389937106918	5.58278429270605
ACP6|51205	1011	18.518708730741	3.46902207856826
ACPL2|92370	832	13.5665796344648	2.53989828689227
ACPP|55	381	6.10576923076923	1.14222626269163
ACPT|93650	0	0	0
ACRBP|84519	1	0.0279798545047566	0.0052342830909116
ACRC|93953	36	0.566393958464443	0.105957174261965
ACRV1|56	0	0	0
ACR|49	0	0	0
ACSBG1|23205	22	0.430359937402191	0.0805088440673313
ACSBG2|81616	7	0.12962962962963	0.0242502396978568
ACSF2|80221	2202	51.0821345707657	9.55766490551127
ACSF3|197322	1127	18.4007184846506	3.44271038427771
ACSL1|2180	31085	416.429643527205	77.9304856117191
ACSL3|2181	14048	164.741201313937	30.8306593699748
ACSL4|2182	1702	16.9065977742448	3.16373925469938
ACSL5|51703	1008	15.5886173832354	2.91632947557275
ACSL6|23305	15	0.255015300918055	0.047706548198533
ACSM1|116285	104	2.53486104339347	0.474295974587879
ACSM2A|123876	29	0.500185804533631	0.100801283025014
ACSM2B|348158	12	0.24906600249066	0.0465935934418881
ACSM3|6296	275	6.52539155196963	1.22081517225972
ACSM4|341392	40	1.14744693057946	0.214656658254941
ACSM5|54988	38	1.06801573917931	0.199797204930547
